prescription_text,label,clean_text,extracted_info,medicine_name
Tab Paracetamol 500mg BD after meals 3 days,DO,tab paracetamol 500mg twice daily after meals 3 days,"{'dosage': ['500mg'], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': ['3 days']}",['paracetamol']
Tab Paracetamol 650mg TDS after meals 3 days,DO,tab paracetamol 650mg three times daily after meals 3 days,"{'dosage': ['650mg'], 'frequency': ['three times daily'], 'timing': ['after meals'], 'duration': ['3 days']}",['paracetamol']
Tab Paracetamol 500mg SOS for fever,DO,tab paracetamol 500mg when needed for fever,"{'dosage': ['500mg'], 'frequency': ['when needed'], 'timing': [], 'duration': []}",['paracetamol']
Tab Brufen 400mg BD after meals,DO,tab brufen 400mg twice daily after meals,"{'dosage': ['400mg'], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': []}",['brufen']
Tab Brufen 600mg TDS after meals,DO,tab brufen 600mg three times daily after meals,"{'dosage': ['600mg'], 'frequency': ['three times daily'], 'timing': ['after meals'], 'duration': []}",['brufen']
Avoid cold drinks during fever,DONT,avoid cold drinks during fever,"{'dosage': [], 'frequency': [], 'timing': ['during fever'], 'duration': []}",[]
Do not exceed recommended dose,WARNING,do not exceed recommended dose,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Take rest and drink plenty of fluids,DO,take rest and drink plenty of fluids,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Dolo 650mg BD after meals,DO,tab dolo 650mg twice daily after meals,"{'dosage': ['650mg'], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': []}",[]
Avoid alcohol while taking painkillers,DONT,avoid alcohol while taking painkillers,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Cetirizine 10mg OD at night,DO,tab cetirizine 10mg once daily at night,"{'dosage': ['10mg'], 'frequency': ['once daily'], 'timing': ['at night'], 'duration': []}",['cetirizine']
Tab Levocetirizine 5mg OD at night,DO,tab levocetirizine 5mg once daily at night,"{'dosage': ['5mg'], 'frequency': ['once daily'], 'timing': ['at night'], 'duration': []}",[]
Syp Benadryl 10ml TDS,DO,syp benadryl 10ml three times daily,"{'dosage': ['10ml'], 'frequency': ['three times daily'], 'timing': [], 'duration': []}",['benadryl']
Syp Ascoril 10ml BD,DO,syp ascoril 10ml twice daily,"{'dosage': ['10ml'], 'frequency': ['twice daily'], 'timing': [], 'duration': []}",['ascoril']
Tab Montelukast OD at night,DO,tab montelukast once daily at night,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['at night'], 'duration': []}",[]
Avoid cold beverages,DONT,avoid cold beverages,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Steam inhalation twice daily,DO,steam inhalation twice daily,"{'dosage': [], 'frequency': ['twice daily'], 'timing': [], 'duration': []}",[]
Do not drive after taking cough syrup,WARNING,do not drive after taking cough syrup,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Sinarest BD after meals,DO,tab sinarest twice daily after meals,"{'dosage': [], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': []}",['sinarest']
Avoid smoking during cold,DONT,avoid smoking during cold,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Allegra OD daily,DO,tab allegra once daily daily,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",['allegra']
Tab Allegra M OD at night,DO,tab allegra m once daily at night,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['at night'], 'duration': []}",['allegra']
Tab Cetirizine OD at night,DO,tab cetirizine once daily at night,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['at night'], 'duration': []}",['cetirizine']
Avoid dust exposure,DONT,avoid dust exposure,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Avoid pollen and smoke,DONT,avoid pollen and smoke,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not take on empty stomach,WARNING,do not take on empty stomach,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Levocetirizine BD,DO,tab levocetirizine twice daily,"{'dosage': [], 'frequency': ['twice daily'], 'timing': [], 'duration': []}",[]
Apply calamine lotion locally,DO,apply calamine lotion locally,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['lotion']
Avoid scratching skin,WARNING,avoid scratching skin,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Consult doctor if allergy persists,WARNING,consult doctor if allergy persists,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Pantoprazole OD before breakfast,DO,tab pantoprazole once daily before breakfast,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['before breakfast'], 'duration': []}",[]
Tab Omeprazole OD before breakfast,DO,tab omeprazole once daily before breakfast,"{'dosage': [], 'frequency': ['once daily'], 'timing': ['before breakfast'], 'duration': []}",['omeprazole']
Tab Rantac BD before meals,DO,tab rantac twice daily before meals,"{'dosage': [], 'frequency': ['twice daily'], 'timing': ['before meals'], 'duration': []}",['rantac']
Avoid spicy food,DONT,avoid spicy food,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",['spicy']
Avoid oily food,DONT,avoid oily food,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Do not lie down immediately after meals,WARNING,do not lie down immediately after meals,"{'dosage': [], 'frequency': [], 'timing': ['after meals'], 'duration': []}",[]
Eat small frequent meals,DO,eat small frequent meals,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Gelusil after meals,DO,tab gelusil after meals,"{'dosage': [], 'frequency': [], 'timing': ['after meals'], 'duration': []}",[]
Avoid alcohol,DONT,avoid alcohol,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Consult doctor if pain persists,WARNING,consult doctor if pain persists,"{'dosage': [], 'frequency': [], 'timing': [], 'duration': []}",[]
Tab Metformin BD after meals,DO,tab metformin twice daily after meals,"{'dosage': [], 'frequency': ['twice daily'], 'timing': ['after meals'], 'duration': []}",[]
Tab Metformin SR OD after dinner,DO,tab metformin sr once daily after dinner,"{'dosage': [], 'frequency': ['once daily'], 'timing': [], 'duration': []}",[]
